2019-08-10 22:02:30,184	INFO	main	<module>	Line:11	app started
2019-08-10 22:02:30,190	WARNING	_internal	_log	Line:122	 * Debugger is active!
2019-08-10 22:02:30,191	INFO	_internal	_log	Line:122	 * Debugger PIN: 163-876-169
2019-08-10 22:02:43,252	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:02:43] "OPTIONS /arrangement/ HTTP/1.1" 200 -
2019-08-10 22:02:43,281	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:02:43] "POST /arrangement/ HTTP/1.1" 200 -
2019-08-10 22:02:43,455	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:02:43] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 22:02:47,348	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:02:47] "OPTIONS /arrangement/ HTTP/1.1" 200 -
2019-08-10 22:02:47,360	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:02:47] "POST /arrangement/ HTTP/1.1" 200 -
2019-08-10 22:02:47,516	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:02:47] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 22:02:50,898	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:02:50] "OPTIONS /arrangement/ HTTP/1.1" 200 -
2019-08-10 22:02:50,918	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:02:50] "POST /arrangement/ HTTP/1.1" 200 -
2019-08-10 22:02:51,081	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:02:51] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 22:05:12,889	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:12] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 22:05:12,891	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:12] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 22:05:12,894	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:12] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 22:05:13,091	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:13] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 22:05:33,446	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:33] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 22:05:33,450	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:33] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 22:05:33,452	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:33] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 22:05:33,601	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:33] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 22:05:41,649	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:41] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 22:05:41,651	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:41] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 22:05:41,654	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:41] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 22:05:41,804	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:41] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 22:05:54,352	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:54] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 22:05:54,354	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:54] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 22:05:54,357	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:54] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 22:05:54,510	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:05:54] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 22:06:07,325	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:06:07] "OPTIONS /arrangement/ HTTP/1.1" 200 -
2019-08-10 22:06:07,340	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:06:07] "POST /arrangement/ HTTP/1.1" 200 -
2019-08-10 22:06:24,464	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:06:24] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 22:06:24,470	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:06:24] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 22:06:24,472	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:06:24] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 22:06:24,654	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:06:24] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 22:06:35,689	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:06:35] "OPTIONS /arrangement/ HTTP/1.1" 200 -
2019-08-10 22:06:35,706	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:06:35] "POST /arrangement/ HTTP/1.1" 200 -
2019-08-10 22:06:35,874	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 22:06:35] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 22:09:04,975	INFO	_internal	_log	Line:122	 * Detected change in '/home/long/newdevelopment/classarrangement/services/daos/courseplanDAO.py', reloading
