2019-08-07 17:24:11,439	INFO	main	<module>	Line:11	app started
2019-08-07 17:24:11,445	WARNING	_internal	_log	Line:122	 * Debugger is active!
2019-08-07 17:24:11,446	INFO	_internal	_log	Line:122	 * Debugger PIN: 163-876-169
2019-08-07 17:24:12,218	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:12] "GET /classroom/ HTTP/1.1" 200 -
2019-08-07 17:24:13,247	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:13] "GET /teacher/ HTTP/1.1" 200 -
2019-08-07 17:24:13,682	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:13] "GET /teacher/ HTTP/1.1" 200 -
2019-08-07 17:24:13,682	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:13] "GET /classroom/ HTTP/1.1" 200 -
2019-08-07 17:24:13,684	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:13] "GET /class/details/ HTTP/1.1" 200 -
2019-08-07 17:24:14,126	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:14] "GET /class/ HTTP/1.1" 200 -
2019-08-07 17:24:14,146	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:14] "GET /course/details/ HTTP/1.1" 200 -
2019-08-07 17:24:14,573	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:14] "GET /class/details/ HTTP/1.1" 200 -
2019-08-07 17:24:14,583	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:14] "GET /teacher/ HTTP/1.1" 200 -
2019-08-07 17:24:14,594	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:14] "GET /course/ HTTP/1.1" 200 -
2019-08-07 17:24:14,647	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:14] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-07 17:24:20,327	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:20] "GET /class/details/ HTTP/1.1" 200 -
2019-08-07 17:24:20,329	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:20] "GET /classroom/ HTTP/1.1" 200 -
2019-08-07 17:24:20,331	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:20] "GET /teacher/ HTTP/1.1" 200 -
2019-08-07 17:24:20,486	INFO	_internal	_log	Line:122	127.0.0.1 - - [07/Aug/2019 17:24:20] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
