2019-08-10 14:56:39,129	INFO	main	<module>	Line:11	app started
2019-08-10 14:56:39,136	WARNING	_internal	_log	Line:122	 * Debugger is active!
2019-08-10 14:56:39,136	INFO	_internal	_log	Line:122	 * Debugger PIN: 163-876-169
2019-08-10 14:56:42,848	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:56:42] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 14:56:42,849	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:56:42] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 14:56:42,852	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:56:42] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 14:56:43,035	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:56:43] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 14:56:58,347	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:56:58] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 14:56:58,368	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:56:58] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 14:56:58,369	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:56:58] "GET /course/ HTTP/1.1" 200 -
2019-08-10 14:56:58,434	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:56:58] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-10 14:57:00,461	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:57:00] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 14:57:00,469	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:57:00] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 14:57:00,472	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:57:00] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 14:57:00,622	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:57:00] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 14:59:44,407	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:44] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 14:59:44,416	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:44] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 14:59:44,419	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:44] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 14:59:44,593	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:44] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 14:59:46,333	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:46] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 14:59:46,358	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:46] "GET /course/ HTTP/1.1" 200 -
2019-08-10 14:59:46,359	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:46] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 14:59:46,429	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:46] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-10 14:59:48,299	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:48] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 14:59:48,307	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:48] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 14:59:48,309	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:48] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 14:59:48,460	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 14:59:48] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 15:00:26,547	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 15:00:26] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 15:00:26,552	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 15:00:26] "GET /teacher/ HTTP/1.1" 200 -
