2019-09-15 21:10:01,235	INFO	main	<module>	Line:11	app started
2019-09-15 21:10:01,242	WARNING	_internal	_log	Line:122	 * Debugger is active!
2019-09-15 21:10:01,242	INFO	_internal	_log	Line:122	 * Debugger PIN: 163-876-169
2019-09-15 21:10:43,668	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:10:43] "GET /classroom/ HTTP/1.1" 200 -
2019-09-15 21:10:51,304	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:10:51] "GET /classroom/ HTTP/1.1" 200 -
2019-09-15 21:10:52,706	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:10:52] "GET /class/details/ HTTP/1.1" 200 -
2019-09-15 21:10:53,555	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:10:53] "GET /classroom/ HTTP/1.1" 200 -
2019-09-15 21:10:53,557	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:10:53] "GET /class/details/ HTTP/1.1" 200 -
2019-09-15 21:10:53,560	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:10:53] "GET /teacher/ HTTP/1.1" 200 -
2019-09-15 21:10:53,893	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:10:53] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-09-15 21:12:00,109	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:12:00] "GET /teacher/ HTTP/1.1" 200 -
2019-09-15 21:12:07,610	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:12:07] "GET /arrangement/teacher/61 HTTP/1.1" 200 -
2019-09-15 21:13:15,378	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:13:15] "GET /arrangement/teacher/1 HTTP/1.1" 200 -
2019-09-15 21:13:33,537	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:13:33] "GET /arrangement/teacher/23 HTTP/1.1" 200 -
2019-09-15 21:13:57,735	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:13:57] "GET /classroom/ HTTP/1.1" 200 -
2019-09-15 21:13:57,738	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:13:57] "GET /class/details/ HTTP/1.1" 200 -
2019-09-15 21:13:57,741	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:13:57] "GET /teacher/ HTTP/1.1" 200 -
2019-09-15 21:13:58,074	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:13:58] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-09-15 21:14:34,489	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:14:34] "GET /class/details/ HTTP/1.1" 200 -
2019-09-15 21:14:34,493	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:14:34] "GET /course/ HTTP/1.1" 200 -
2019-09-15 21:14:34,496	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:14:34] "GET /teacher/ HTTP/1.1" 200 -
2019-09-15 21:14:34,522	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:14:34] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-09-15 21:15:08,675	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:15:08] "GET /courseplan/details/134 HTTP/1.1" 200 -
2019-09-15 21:15:14,029	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:15:14] "OPTIONS /courseplan/update/134 HTTP/1.1" 200 -
2019-09-15 21:15:14,176	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:15:14] "POST /courseplan/update/134 HTTP/1.1" 200 -
2019-09-15 21:15:14,204	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:15:14] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-09-15 21:15:20,754	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:15:20] "GET /courseplan/details/140 HTTP/1.1" 200 -
2019-09-15 21:15:24,704	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:15:24] "OPTIONS /courseplan/update/140 HTTP/1.1" 200 -
2019-09-15 21:15:24,870	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:15:24] "POST /courseplan/update/140 HTTP/1.1" 200 -
2019-09-15 21:15:24,911	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:15:24] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-09-15 21:16:04,889	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:04] "GET /courseplan/details/44 HTTP/1.1" 200 -
2019-09-15 21:16:18,775	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:18] "GET /teacher/ HTTP/1.1" 200 -
2019-09-15 21:16:26,357	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:26] "OPTIONS /teacher/ HTTP/1.1" 200 -
2019-09-15 21:16:26,640	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:26] "POST /teacher/ HTTP/1.1" 200 -
2019-09-15 21:16:26,673	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:26] "GET /teacher/ HTTP/1.1" 200 -
2019-09-15 21:16:27,982	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:27] "GET /class/details/ HTTP/1.1" 200 -
2019-09-15 21:16:27,984	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:27] "GET /course/ HTTP/1.1" 200 -
2019-09-15 21:16:27,988	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:27] "GET /teacher/ HTTP/1.1" 200 -
2019-09-15 21:16:28,003	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:28] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-09-15 21:16:35,003	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:35] "GET /courseplan/details/44 HTTP/1.1" 200 -
2019-09-15 21:16:41,650	INFO	_internal	_log	Line:122	127.0.0.1 - - [15/Sep/2019 21:16:41] "OPTIONS /courseplan/update/44 HTTP/1.1" 200 -
