2019-07-27 00:22:36,018	INFO	main	<module>	Line:11	app started
2019-07-27 00:22:36,023	WARNING	_internal	_log	Line:88	 * Debugger is active!
2019-07-27 00:22:36,026	INFO	_internal	_log	Line:88	 * Debugger PIN: 143-515-389
2019-07-27 00:22:38,409	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:38] "GET /course/remove/1 HTTP/1.1" 200 -
2019-07-27 00:22:38,420	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:38] "GET /course/details/ HTTP/1.1" 200 -
2019-07-27 00:22:42,968	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:42] "GET /course/remove/6 HTTP/1.1" 200 -
2019-07-27 00:22:42,977	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:42] "GET /course/details/ HTTP/1.1" 200 -
2019-07-27 00:22:46,095	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:46] "GET /teacher/ HTTP/1.1" 200 -
2019-07-27 00:22:46,096	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:46] "GET /class/details/ HTTP/1.1" 200 -
2019-07-27 00:22:46,097	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:46] "GET /classroom/ HTTP/1.1" 200 -
2019-07-27 00:22:46,614	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:46] "GET /class/ HTTP/1.1" 200 -
2019-07-27 00:22:46,617	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:46] "GET /course/details/ HTTP/1.1" 200 -
2019-07-27 00:22:51,606	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:51] "GET /classroom/ HTTP/1.1" 200 -
2019-07-27 00:22:51,606	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:51] "GET /teacher/ HTTP/1.1" 200 -
2019-07-27 00:22:51,608	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:51] "GET /class/details/ HTTP/1.1" 200 -
2019-07-27 00:22:52,068	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:52] "GET /course/details/ HTTP/1.1" 200 -
2019-07-27 00:22:52,069	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:22:52] "GET /class/ HTTP/1.1" 200 -
2019-07-27 00:23:00,535	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:23:00] "GET /class/ HTTP/1.1" 200 -
2019-07-27 00:23:00,538	INFO	_internal	_log	Line:88	127.0.0.1 - - [27/Jul/2019 00:23:00] "GET /course/details/ HTTP/1.1" 200 -
