2019-07-28 22:48:02,269	INFO	main	<module>	Line:11	app started
2019-07-28 22:48:02,275	WARNING	_internal	_log	Line:88	 * Debugger is active!
2019-07-28 22:48:02,278	INFO	_internal	_log	Line:88	 * Debugger PIN: 663-870-556
2019-07-28 22:48:03,296	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 22:48:03] "OPTIONS /course/ HTTP/1.1" 200 -
2019-07-28 22:48:03,298	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 22:48:03] "POST /course/ HTTP/1.1" 200 -
2019-07-28 22:48:03,313	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 22:48:03] "GET /course/details/ HTTP/1.1" 200 -
2019-07-28 22:48:20,480	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 22:48:20] "OPTIONS /course/ HTTP/1.1" 200 -
2019-07-28 22:48:20,544	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 22:48:20] "POST /course/ HTTP/1.1" 200 -
2019-07-28 22:48:20,573	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 22:48:20] "GET /course/details/ HTTP/1.1" 200 -
2019-07-28 22:48:24,169	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 22:48:24] "GET /course/remove/3 HTTP/1.1" 200 -
2019-07-28 22:48:24,176	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 22:48:24] "GET /course/details/ HTTP/1.1" 200 -
2019-07-28 22:48:35,462	INFO	_internal	_log	Line:88	 * Detected change in '/home/long/development/classarrangement/services/daos/courseDAO.py', reloading
