2019-08-10 12:02:40,154	INFO	main	<module>	Line:11	app started
2019-08-10 12:02:40,160	WARNING	_internal	_log	Line:122	 * Debugger is active!
2019-08-10 12:02:40,160	INFO	_internal	_log	Line:122	 * Debugger PIN: 163-876-169
2019-08-10 12:02:53,716	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 12:02:53] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 12:03:08,109	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 12:03:08] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 12:03:09,765	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 12:03:09] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 12:03:09,773	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 12:03:09] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 12:03:09,781	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 12:03:09] "GET /course/ HTTP/1.1" 200 -
2019-08-10 12:03:09,874	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 12:03:09] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-10 12:03:12,537	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 12:03:12] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 12:03:12,540	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 12:03:12] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 12:03:12,543	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 12:03:12] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 12:03:12,710	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 12:03:12] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-10 13:02:43,480	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 13:02:43] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 13:02:43,487	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 13:02:43] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 13:02:43,496	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 13:02:43] "GET /course/ HTTP/1.1" 200 -
2019-08-10 13:02:43,548	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 13:02:43] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-10 13:02:45,889	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 13:02:45] "GET /class/details/ HTTP/1.1" 200 -
2019-08-10 13:02:45,892	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 13:02:45] "GET /classroom/ HTTP/1.1" 200 -
2019-08-10 13:02:45,894	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 13:02:45] "GET /teacher/ HTTP/1.1" 200 -
2019-08-10 13:02:46,051	INFO	_internal	_log	Line:122	127.0.0.1 - - [10/Aug/2019 13:02:46] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
