2019-07-28 23:04:18,194	INFO	main	<module>	Line:11	app started
2019-07-28 23:04:18,199	WARNING	_internal	_log	Line:88	 * Debugger is active!
2019-07-28 23:04:18,202	INFO	_internal	_log	Line:88	 * Debugger PIN: 500-162-933
2019-07-28 23:05:02,093	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:02] "OPTIONS /course/ HTTP/1.1" 200 -
2019-07-28 23:05:02,156	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:02] "POST /course/ HTTP/1.1" 200 -
2019-07-28 23:05:02,186	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:02] "GET /course/details/ HTTP/1.1" 200 -
2019-07-28 23:05:04,617	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:04] "OPTIONS /course/ HTTP/1.1" 200 -
2019-07-28 23:05:04,665	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:04] "POST /course/ HTTP/1.1" 200 -
2019-07-28 23:05:04,706	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:04] "GET /course/details/ HTTP/1.1" 200 -
2019-07-28 23:05:07,479	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:07] "OPTIONS /course/ HTTP/1.1" 200 -
2019-07-28 23:05:07,549	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:07] "POST /course/ HTTP/1.1" 200 -
2019-07-28 23:05:07,578	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:07] "GET /course/details/ HTTP/1.1" 200 -
2019-07-28 23:05:13,560	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:13] "OPTIONS /course/ HTTP/1.1" 200 -
2019-07-28 23:05:13,608	INFO	_internal	_log	Line:88	127.0.0.1 - - [28/Jul/2019 23:05:13] "POST /course/ HTTP/1.1" 200 -
