2019-08-11 16:25:22,388	INFO	main	<module>	Line:11	app started
2019-08-11 16:25:22,395	WARNING	_internal	_log	Line:122	 * Debugger is active!
2019-08-11 16:25:22,396	INFO	_internal	_log	Line:122	 * Debugger PIN: 163-876-169
2019-08-11 16:25:32,327	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:25:32] "OPTIONS /arrangement/ HTTP/1.1" 200 -
2019-08-11 16:25:32,521	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:25:32] "POST /arrangement/ HTTP/1.1" 200 -
2019-08-11 16:25:32,693	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:25:32] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:25:45,911	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:25:45] "GET /arrangement/remove/22/56 HTTP/1.1" 200 -
2019-08-11 16:25:46,091	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:25:46] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:25:50,641	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:25:50] "GET /arrangement/remove/22/49 HTTP/1.1" 200 -
2019-08-11 16:25:50,829	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:25:50] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:26:30,492	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:30] "GET /classroom/ HTTP/1.1" 200 -
2019-08-11 16:26:30,497	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:30] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:26:30,501	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:30] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:26:30,700	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:30] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:26:32,867	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:32] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:26:32,879	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:32] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:26:32,881	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:32] "GET /course/ HTTP/1.1" 200 -
2019-08-11 16:26:32,937	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:32] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-11 16:26:34,353	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:34] "GET /classroom/ HTTP/1.1" 200 -
2019-08-11 16:26:34,355	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:34] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:26:34,357	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:34] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:26:34,498	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:34] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:26:50,484	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:50] "OPTIONS /arrangement/ HTTP/1.1" 200 -
2019-08-11 16:26:50,785	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:50] "POST /arrangement/ HTTP/1.1" 200 -
2019-08-11 16:26:50,981	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:50] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:26:54,677	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:54] "GET /arrangement/remove/22/49 HTTP/1.1" 200 -
2019-08-11 16:26:54,878	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:26:54] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:27:03,998	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:27:03] "GET /classroom/ HTTP/1.1" 200 -
2019-08-11 16:27:04,000	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:27:04] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:27:04,002	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:27:04] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:27:04,157	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:27:04] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:28:13,459	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:13] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:28:13,461	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:13] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:28:13,463	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:13] "GET /classroom/ HTTP/1.1" 200 -
2019-08-11 16:28:13,619	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:13] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:28:24,700	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:24] "OPTIONS /arrangement/ HTTP/1.1" 200 -
2019-08-11 16:28:24,850	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:24] "POST /arrangement/ HTTP/1.1" 200 -
2019-08-11 16:28:25,000	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:25] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:28:27,718	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:27] "GET /arrangement/remove/22/49 HTTP/1.1" 200 -
2019-08-11 16:28:27,921	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:27] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:28:28,423	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:28] "GET /classroom/ HTTP/1.1" 200 -
2019-08-11 16:28:28,425	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:28] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:28:28,428	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:28] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:28:28,606	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:28] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:28:47,066	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:47] "GET /classroom/ HTTP/1.1" 200 -
2019-08-11 16:28:47,069	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:47] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:28:47,071	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:47] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:28:47,224	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:47] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:28:56,289	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:56] "OPTIONS /arrangement/ HTTP/1.1" 200 -
2019-08-11 16:28:56,582	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:56] "POST /arrangement/ HTTP/1.1" 200 -
2019-08-11 16:28:56,766	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:28:56] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
