2019-08-02 01:41:47,295	INFO	main	<module>	Line:11	app started
2019-08-02 01:41:47,301	WARNING	_internal	_log	Line:88	 * Debugger is active!
2019-08-02 01:41:47,305	INFO	_internal	_log	Line:88	 * Debugger PIN: 119-106-470
2019-08-02 01:41:58,950	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:41:58] "GET /class/details/ HTTP/1.1" 200 -
2019-08-02 01:41:58,960	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:41:58] "GET /teacher/ HTTP/1.1" 200 -
2019-08-02 01:41:58,966	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:41:58] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-02 01:41:58,973	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:41:58] "GET /course/ HTTP/1.1" 200 -
2019-08-02 01:45:02,562	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:02] "GET /class/details/ HTTP/1.1" 200 -
2019-08-02 01:45:02,571	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:02] "GET /teacher/ HTTP/1.1" 200 -
2019-08-02 01:45:02,576	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:02] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-02 01:45:02,581	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:02] "GET /course/ HTTP/1.1" 200 -
2019-08-02 01:45:06,361	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:06] "GET /class/details/ HTTP/1.1" 200 -
2019-08-02 01:45:06,375	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:06] "GET /teacher/ HTTP/1.1" 200 -
2019-08-02 01:45:06,379	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:06] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-02 01:45:06,382	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:06] "GET /course/ HTTP/1.1" 200 -
2019-08-02 01:45:09,527	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:09] "GET /class/details/ HTTP/1.1" 200 -
2019-08-02 01:45:09,533	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:09] "GET /teacher/ HTTP/1.1" 200 -
2019-08-02 01:45:09,544	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:09] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-02 01:45:09,549	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:09] "GET /course/ HTTP/1.1" 200 -
2019-08-02 01:45:10,655	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:10] "GET /class/details/ HTTP/1.1" 200 -
2019-08-02 01:45:10,666	INFO	_internal	_log	Line:88	127.0.0.1 - - [02/Aug/2019 01:45:10] "GET /teacher/ HTTP/1.1" 200 -
