2019-08-11 16:20:20,554	INFO	main	<module>	Line:11	app started
2019-08-11 16:20:20,561	WARNING	_internal	_log	Line:122	 * Debugger is active!
2019-08-11 16:20:20,561	INFO	_internal	_log	Line:122	 * Debugger PIN: 163-876-169
2019-08-11 16:20:23,171	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:23] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:20:23,175	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:23] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:20:23,187	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:23] "GET /course/ HTTP/1.1" 200 -
2019-08-11 16:20:23,245	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:23] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-11 16:20:25,011	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:25] "GET /classroom/ HTTP/1.1" 200 -
2019-08-11 16:20:25,013	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:25] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:20:25,016	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:25] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:20:25,181	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:25] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:20:30,726	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:30] "GET /arrangement/remove/21/44 HTTP/1.1" 200 -
2019-08-11 16:20:35,268	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:35] "GET /arrangement/remove/21/45 HTTP/1.1" 200 -
2019-08-11 16:20:36,482	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:36] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:20:36,494	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:36] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:20:36,500	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:36] "GET /course/ HTTP/1.1" 200 -
2019-08-11 16:20:36,550	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:36] "GET /courseplan/details/ HTTP/1.1" 200 -
2019-08-11 16:20:38,589	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:38] "GET /classroom/ HTTP/1.1" 200 -
2019-08-11 16:20:38,590	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:38] "GET /class/details/ HTTP/1.1" 200 -
2019-08-11 16:20:38,594	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:38] "GET /teacher/ HTTP/1.1" 200 -
2019-08-11 16:20:38,741	INFO	_internal	_log	Line:122	127.0.0.1 - - [11/Aug/2019 16:20:38] "GET /courseplan/details/arrangement/ HTTP/1.1" 200 -
2019-08-11 16:20:54,892	INFO	_internal	_log	Line:122	 * Detected change in '/home/long/newdevelopment/classarrangement/services/daos/arrangementDAO.py', reloading
