2019-07-21 21:16:22,215	INFO	main	<module>	Line:10	app started
2019-07-21 21:16:22,220	WARNING	_internal	_log	Line:88	 * Debugger is active!
2019-07-21 21:16:22,222	INFO	_internal	_log	Line:88	 * Debugger PIN: 153-568-378
2019-07-21 21:17:19,595	INFO	_internal	_log	Line:88	127.0.0.1 - - [21/Jul/2019 21:17:19] "GET /addproblems HTTP/1.1" 404 -
2019-07-21 21:17:19,627	INFO	_internal	_log	Line:88	127.0.0.1 - - [21/Jul/2019 21:17:19] "GET /favicon.ico HTTP/1.1" 404 -
2019-07-21 21:17:22,565	INFO	_internal	_log	Line:88	127.0.0.1 - - [21/Jul/2019 21:17:22] "GET / HTTP/1.1" 200 -
2019-07-21 21:17:22,571	INFO	_internal	_log	Line:88	127.0.0.1 - - [21/Jul/2019 21:17:22] "GET /swaggerui/droid-sans.css HTTP/1.1" 200 -
2019-07-21 21:17:22,572	INFO	_internal	_log	Line:88	127.0.0.1 - - [21/Jul/2019 21:17:22] "GET /swaggerui/swagger-ui.css HTTP/1.1" 200 -
2019-07-21 21:17:22,573	INFO	_internal	_log	Line:88	127.0.0.1 - - [21/Jul/2019 21:17:22] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
2019-07-21 21:17:22,574	INFO	_internal	_log	Line:88	127.0.0.1 - - [21/Jul/2019 21:17:22] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 200 -
2019-07-21 21:17:22,685	INFO	_internal	_log	Line:88	127.0.0.1 - - [21/Jul/2019 21:17:22] "GET /swagger.json HTTP/1.1" 200 -
2019-07-21 21:17:22,712	INFO	_internal	_log	Line:88	127.0.0.1 - - [21/Jul/2019 21:17:22] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
2019-07-21 21:21:04,692	INFO	_internal	_log	Line:88	 * Detected change in '/home/long/development/classarrangement/src/apis/__init__.py', reloading
