2019-07-22 17:12:55,092	INFO	main	<module>	Line:11	app started
2019-07-22 17:12:55,097	WARNING	_internal	_log	Line:88	 * Debugger is active!
2019-07-22 17:12:55,100	INFO	_internal	_log	Line:88	 * Debugger PIN: 163-196-671
2019-07-22 17:12:56,650	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:56] "GET / HTTP/1.1" 200 -
2019-07-22 17:12:56,714	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:56] "GET /swagger.json HTTP/1.1" 200 -
2019-07-22 17:12:56,755	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:56] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
2019-07-22 17:12:57,002	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:57] "GET / HTTP/1.1" 200 -
2019-07-22 17:12:57,037	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:57] "GET /swagger.json HTTP/1.1" 200 -
2019-07-22 17:12:57,039	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:57] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
2019-07-22 17:12:57,210	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:57] "GET / HTTP/1.1" 200 -
2019-07-22 17:12:57,243	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:57] "GET /swagger.json HTTP/1.1" 200 -
2019-07-22 17:12:57,245	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:57] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
2019-07-22 17:12:57,474	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:57] "GET / HTTP/1.1" 200 -
2019-07-22 17:12:57,505	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:57] "GET /swagger.json HTTP/1.1" 200 -
2019-07-22 17:12:57,507	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:12:57] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
2019-07-22 17:16:22,931	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:16:22] "POST /class/ HTTP/1.1" 200 -
2019-07-22 17:16:22,989	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:16:22] "POST /class/ HTTP/1.1" 200 -
2019-07-22 17:16:29,928	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:16:29] "GET /class/ HTTP/1.1" 200 -
2019-07-22 17:17:12,189	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:17:12] "POST /class/ HTTP/1.1" 200 -
2019-07-22 17:17:12,256	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:17:12] "POST /class/ HTTP/1.1" 200 -
2019-07-22 17:17:14,975	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:17:14] "GET /class/ HTTP/1.1" 200 -
2019-07-22 17:17:27,200	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:17:27] "GET /class/remove/1 HTTP/1.1" 200 -
2019-07-22 17:17:31,204	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:17:31] "GET /class/ HTTP/1.1" 200 -
2019-07-22 17:17:39,773	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:17:39] "GET /class/2 HTTP/1.1" 200 -
2019-07-22 17:17:42,336	INFO	_internal	_log	Line:88	127.0.0.1 - - [22/Jul/2019 17:17:42] "GET /class/1 HTTP/1.1" 200 -
